No. ,Titik Koordinat,Nama Unit,"ALAMAT  KANTOR",KELURAHAN,KECAMATAN,KOTA / KABUPATEN,KODE POS,PROVINSI,Area/Cluster,Kode Cabang,Column 1,Column 2,Column 3
1,"-6.7477605,106.801142",Bogor Cigombong 1,"Ruko Plaza Lido 26-27, Jl Mayjend H.E. Sukma Km 23, Perumahan Villa Mutiara Lido, Kel/Kec Cigombong",Cigombong,Cigombong,Kab. Bogor,16740,JAWA BARAT,BOGOR 1,13379,,,
2,"-6.632727, 106.825586",Bogor Tajur 1,Jl. Raya Tajur No. 121 B & C,Tajur,Bogor Timur,Kota Bogor,16141,JAWA BARAT,BOGOR 1,13310,,,
3,"-6.677578, 106.929379",Bogor Cisarua 1,Jl. Raya Cisarua Km.80 No.28 Kp. Pasanggrahan RT.02/01,Citeko,Cisarua,Kab. Bogor,16750,JAWA BARAT,BOGOR 1,13380,,,
4,"-6.610365, 106.811275",Bogor Pajajaran 1,Jl. Raya Pajajaran No. 60 B & 60 C,Baranangsiang,Bogor Timur,Kota Bogor,16143,JAWA BARAT,BOGOR 1,13313,,,
5,"-6.596314, 106.793594",Bogor Juanda 1,"Jl. Ir. H, Juanda No. 12",Pabaton,Bogor Timur,Kota Bogor,16121,JAWA BARAT,BOGOR 1,13300,,,Bogor Tengah > Bogor Timur
6,"-6.6106311,106.8048086",Bogor Suryakencana 1,Jl. Suryakencana No. 310,Gudang,Bogor Tengah,Kota Bogor,16123,JAWA BARAT,BOGOR 1,13302,,,
7,"-6.614302, 106.803703",Bogor Nirwana Residence 1,Jl. Pahlawan No. 141,Bondongan,Bogor Selatan,Kota Bogor,16131,JAWA BARAT,BOGOR 1,13324,,,
8,"-6.547473, 106.823206",Bogor Ciluar 1,"Jl. Raya Simpang Pomad Ruko No. 323 C, Ciluar",Ciluar,Bogor Utara,Kota Bogor,16156,JAWA BARAT,BOGOR 2,13316,,,
9,"-6.483992, 106.798994",Bogor Bojong Gede 1,Jl. Jl. Bojong Gede Bambu Kuning No. 8J/10 RT 03 RW.01,Bojonggede,Bojonggede,Kab. Bogor,16320,JAWA BARAT,BOGOR 2,13382,,,
10,"-6.5114134,106.8066406",Bogor Karadenan 1,Jl. Raya Karadenan Ruko No. 6 Kaumpandak RT 003/RW 010,Karadenan,Cibinong,Kab. Bogor,16913,JAWA BARAT,BOGOR 2,13392,,,
11,"-6.5908399,106.7931524",Bogor Pasar Anyar 1,"Ruko Central Blok C No. 15, Jl. Dewi Sartika",Pabaton,Bogor Tengah,Kota Bogor,16121,JAWA BARAT,BOGOR 2,13315,,,
12,"-6.5961382,106.7924187",Bogor Kapten Muslihat 1,Jl. Kapten Muslihat No. 17,Pabaton,Bogor Tengah,Kota Bogor,16121,JAWA BARAT,BOGOR 2,13301,,,
13,"-6.5606334,106.7882881",Bogor Sholeh Iskandar 1,"Komplek Pertokoan 24, Jl. KH Soleh Iskandar No. 9M & 10N",Kedung Jaya,Tanah Sareal,Kota Bogor,16161,JAWA BARAT,BOGOR 2,13317,,,
14,"-6.5813873,106.8068229",Bogor Warung Jambu 1,Ruko Villa Indah Pajajaran Blok K-L Jl. Raya Pajajaran No. 88,Babakan,Bogor Tengah,Kota Bogor,16128,JAWA BARAT,BOGOR 2,13308,,,
15,"-6.572996, 106.629636",Leuwiliang 1,JL. Raya Leuwiliang No. 11 RT 001 RW 012,Kel. Cibeber,Leuwiliang,Kab. Bogor,16640,JAWA BARAT,BOGOR YASMIN,13384,,,
16,"-6.559190, 106.712107",Dramaga 1,Jl. Raya Cibanteng No.150 RT 05 RW 03,Desa Cibanteng,Ciampea,Kab. Bogor,16620,JAWA BARAT,BOGOR YASMIN,13383,,,
17,"-6.3830509,106.6859466",Bogor Gunung Sindur 1,"Jl. Pemuda No. 38, RT 002 RW 001",Desa Gunung Sundur,Gunung Sindur,Kab. Bogor,16340,JAWA BARAT,BOGOR YASMIN,13375,,,
18,"-6.426155, 106.731751",Bogor ATC Parung 1,"Ruko ATC Parung, Blok A6-A7, Jl. Raya Parung, No. 6",Parung,Parung,Kab. Bogor,16330,JAWA BARAT,BOGOR YASMIN,13326,,,
19,"-6.601695, 106.773306",Bogor Ciomas 1,"Grand Eng 21, RT.02 RW.11",Ciomas,Ciomas,Kab. Bogor,16610,JAWA BARAT,BOGOR YASMIN,13386,,,
20,"-6.496996, 106.753653",Bogor Kemang 1,Jl. Raya Bogor RT 003 RW 008,Kemang,Kemang,Kab. Bogor,16310,JAWA BARAT,BOGOR YASMIN,13391,,,
21,"-6.5591905,106.7680771",Bogor Yasmin 1,Jl. KH Abdullah Bin Nuh No.84,Curug Mekar,Bogor Barat,Kota Bogor,16113,JAWA BARAT,BOGOR YASMIN,13393,,,
22,"-6.560290, 106.727018",Bogor Kampus IPB Darmaga 1,"Gedung IPB Innopreneurship Center, Jl. Kampus IPB Dramaga",Desa Babakan,Dramaga,Kab. Bogor,16680,JAWA BARAT,BOGOR YASMIN,13318,Revisi,,
